bowler,balls,runs_conceded,wickets,overs,economy,strike_rate,wicket_prob
YS Chahal,3628,4681,213,604.6666666666666,7.741455347298787,17.03286384976526,0.058710033076074974
DJ Bravo,3296,4436,207,549.3333333333334,8.075242718446601,15.922705314009661,0.06280339805825243
PP Chawla,3895,5179,201,649.1666666666666,7.977920410783056,19.378109452736318,0.05160462130937099
SP Narine,4146,4672,200,691.0,6.7612156295224315,20.73,0.0482392667631452
R Ashwin,4679,5435,198,779.8333333333334,6.969437914084206,23.63131313131313,0.042316734344945504
B Kumar,4060,5051,195,676.6666666666666,7.464532019704434,20.82051282051282,0.0480295566502463
SL Malinga,2974,3486,188,495.6666666666667,7.032952252858103,15.819148936170214,0.06321452589105582
A Mishra,3444,4193,183,574.0,7.304878048780488,18.81967213114754,0.05313588850174216
JJ Bumrah,3185,3840,182,530.8333333333334,7.233908948194662,17.5,0.05714285714285714
RA Jadeja,3895,4917,169,649.1666666666666,7.5743260590500645,23.047337278106507,0.04338896020539153
UT Yadav,3190,4442,163,531.6666666666666,8.354858934169279,19.570552147239265,0.05109717868338558
Harbhajan Singh,3496,4101,161,582.6666666666666,7.0383295194508015,21.714285714285715,0.046052631578947366
Rashid Khan,2901,3340,157,483.5,6.907962771458118,18.477707006369428,0.0541192692175112
Sandeep Sharma,2925,3758,153,487.5,7.708717948717949,19.11764705882353,0.052307692307692305
HV Patel,2284,3215,151,380.6666666666667,8.44570928196147,15.125827814569536,0.06611208406304729
MM Sharma,2308,3278,147,384.6666666666667,8.52166377816291,15.700680272108844,0.06369150779896014
Mohammed Shami,2521,3486,144,420.1666666666667,8.296707655692185,17.506944444444443,0.057120190400634666
AR Patel,3152,3824,131,525.3333333333334,7.279187817258883,24.061068702290076,0.041560913705583756
TA Boult,2428,3286,128,404.6666666666667,8.120263591433279,18.96875,0.05271828665568369
R Vinay Kumar,2186,3041,127,364.3333333333333,8.346752058554438,17.212598425196852,0.05809698078682525
K Rabada,1907,2652,126,317.8333333333333,8.34399580492921,15.134920634920634,0.06607236497115888
AD Russell,1771,2691,125,295.1666666666667,9.116883116883116,14.168,0.07058159232072275
A Nehra,1974,2537,121,329.0,7.711246200607903,16.31404958677686,0.061296859169199594
Z Khan,2276,2860,119,379.3333333333333,7.539543057996485,19.126050420168067,0.05228471001757469
JD Unadkat,2194,3219,109,365.6666666666667,8.803099361896079,20.128440366972477,0.04968094804010939
CH Morris,1801,2377,107,300.1666666666667,7.91893392559689,16.83177570093458,0.05941143808995003
SR Watson,2137,2742,107,356.1666666666667,7.698642957416939,19.97196261682243,0.0500701918577445
DW Steyn,2282,2583,105,380.3333333333333,6.791411042944786,21.733333333333334,0.046012269938650305
P Kumar,2637,3342,102,439.5,7.604095563139932,25.852941176470587,0.038680318543799774
SN Thakur,1979,2908,100,329.8333333333333,8.816574027286508,19.79,0.050530570995452245
RP Singh,1874,2417,100,312.3333333333333,7.738527214514408,18.74,0.05336179295624333
PP Ojha,1945,2399,99,324.1666666666667,7.40051413881748,19.646464646464647,0.05089974293059126
IK Pathan,2113,2711,99,352.1666666666667,7.698059630856601,21.343434343434343,0.04685281590156176
JA Morkel,1807,2409,96,301.1666666666667,7.998893193137797,18.822916666666668,0.053126729385722195
I Sharma,2429,3255,96,404.8333333333333,8.04034582132565,25.302083333333332,0.03952243721696171
Mohammed Siraj,2081,2894,96,346.8333333333333,8.34406535319558,21.677083333333332,0.04613166746756367
DS Kulkarni,1876,2513,91,312.6666666666667,8.03731343283582,20.615384615384617,0.048507462686567165
Kuldeep Yadav,1786,2413,90,297.6666666666667,8.106382978723405,19.844444444444445,0.05039193729003359
M Morkel,1699,2136,88,283.1666666666667,7.543260741612713,19.306818181818183,0.05179517363154797
Imran Tahir,1340,1729,86,223.33333333333334,7.741791044776119,15.581395348837209,0.06417910447761194
CV Varun,1624,2042,85,270.6666666666667,7.544334975369457,19.105882352941176,0.05233990147783251
L Balaji,1574,2083,85,262.3333333333333,7.940279542566709,18.51764705882353,0.05400254129606099
Arshdeep Singh,1453,2097,84,242.16666666666666,8.659325533379215,17.297619047619047,0.057811424638678596
KV Sharma,1520,2130,82,253.33333333333334,8.407894736842104,18.536585365853657,0.05394736842105263
R Bhatia,1661,2059,82,276.8333333333333,7.437688139674895,20.25609756097561,0.049367850692354005
AB Dinda,1589,2103,82,264.8333333333333,7.940843297671492,19.378048780487806,0.051604782882315924
MM Patel,1382,1733,82,230.33333333333334,7.523878437047757,16.853658536585368,0.059334298118668596
Avesh Khan,1390,2010,81,231.66666666666666,8.676258992805757,17.160493827160494,0.05827338129496403
KA Pollard,1586,2200,81,264.3333333333333,8.32282471626734,19.580246913580247,0.0510718789407314
KH Pandya,2183,2644,80,363.8333333333333,7.267063673843335,27.2875,0.03664681630783326
DL Chahar,1746,2243,79,291.0,7.707903780068729,22.10126582278481,0.04524627720504009
KK Ahmed,1345,1918,78,224.16666666666666,8.556133828996282,17.243589743589745,0.05799256505576208
T Natarajan,1401,2001,76,233.5,8.569593147751606,18.43421052631579,0.05424696645253391
JP Faulkner,1287,1849,76,214.5,8.62004662004662,16.93421052631579,0.059052059052059055
RD Chahar,1697,2165,76,282.8333333333333,7.65468473777254,22.32894736842105,0.04478491455509723
MJ McClenaghan,1346,1839,75,224.33333333333334,8.197622585438335,17.946666666666665,0.05572065378900446
JH Kallis,1799,2348,74,299.8333333333333,7.8310172317954425,24.31081081081081,0.04113396331295164
SK Trivedi,1557,1944,73,259.5,7.491329479768786,21.328767123287673,0.046885035324341684
Shakib Al Hasan,1515,1864,71,252.5,7.3821782178217825,21.338028169014084,0.04686468646864687
Mustafizur Rahman,1353,1792,70,225.5,7.946784922394679,19.32857142857143,0.051736881005173686
HH Pandya,1485,2196,70,247.5,8.872727272727273,21.214285714285715,0.04713804713804714
Ravi Bishnoi,1460,1861,68,243.33333333333334,7.647945205479452,21.470588235294116,0.04657534246575343
M Muralitharan,1581,1765,67,263.5,6.698292220113852,23.597014925373134,0.04237824161922834
MG Johnson,1301,1740,66,216.83333333333334,8.024596464258263,19.71212121212121,0.05073020753266718
PJ Cummins,1370,1976,66,228.33333333333334,8.654014598540146,20.757575757575758,0.04817518248175182
S Kaul,1238,1772,63,206.33333333333334,8.588045234248789,19.650793650793652,0.05088852988691438
SM Curran,1234,1924,62,205.66666666666666,9.354943273905997,19.903225806451612,0.050243111831442464
A Nortje,1097,1614,62,182.83333333333334,8.82771194165907,17.693548387096776,0.056517775752051046
SK Warne,1223,1465,60,203.83333333333334,7.187244480784955,20.383333333333333,0.04905968928863451
MA Starc,879,1175,59,146.5,8.020477815699659,14.898305084745763,0.0671217292377702
JO Holder,1049,1489,59,174.83333333333334,8.516682554814109,17.779661016949152,0.05624404194470925
TG Southee,1262,1774,57,210.33333333333334,8.434231378763867,22.140350877192983,0.045166402535657686
LH Ferguson,1002,1451,57,167.0,8.688622754491018,17.57894736842105,0.05688622754491018
S Nadeem,1444,1800,54,240.66666666666666,7.4792243767313025,26.74074074074074,0.037396121883656507
M Prasidh Krishna,1231,1741,54,205.16666666666666,8.48578391551584,22.796296296296298,0.043866774979691305
S Gopal,1000,1358,53,166.66666666666666,8.148,18.867924528301888,0.053
NM Coulter-Nile,892,1125,52,148.66666666666666,7.567264573991032,17.153846153846153,0.05829596412556054
SB Jakati,1101,1474,50,183.5,8.032697547683924,22.02,0.045413260672116255
JC Archer,987,1210,49,164.5,7.355623100303951,20.142857142857142,0.04964539007092199
A Kumble,983,1089,49,163.83333333333334,6.646998982706002,20.06122448979592,0.04984740590030519
AJ Tye,714,1005,48,119.0,8.445378151260504,14.875,0.06722689075630252
S Aravind,788,1057,48,131.33333333333334,8.048223350253807,16.416666666666668,0.06091370558375635
RJ Harris,865,1085,47,144.16666666666666,7.526011560693642,18.404255319148938,0.05433526011560694
TU Deshpande,831,1275,46,138.5,9.205776173285198,18.065217391304348,0.05535499398315283
MC Henriques,979,1302,46,163.16666666666666,7.9795709908069465,21.282608695652176,0.04698672114402452
VR Aaron,1065,1527,46,177.5,8.60281690140845,23.152173913043477,0.0431924882629108
YK Pathan,1184,1443,46,197.33333333333334,7.3125,25.73913043478261,0.03885135135135135
Iqbal Abdulla,943,1125,45,157.16666666666666,7.158006362672323,20.955555555555556,0.04772004241781548
MP Stoinis,831,1300,45,138.5,9.386281588447654,18.466666666666665,0.05415162454873646
PJ Sangwan,905,1267,44,150.83333333333334,8.4,20.568181818181817,0.04861878453038674
S Sreesanth,947,1221,43,157.83333333333334,7.736008447729672,22.023255813953487,0.0454065469904963
DE Bollinger,600,716,43,100.0,7.16,13.953488372093023,0.07166666666666667
P Awana,774,1046,43,129.0,8.108527131782946,18.0,0.05555555555555555
R Sharma,935,1100,42,155.83333333333334,7.0588235294117645,22.261904761904763,0.044919786096256686
GJ Maxwell,965,1311,41,160.83333333333334,8.151295336787564,23.536585365853657,0.04248704663212435
MM Ali,770,900,40,128.33333333333334,7.012987012987012,19.25,0.05194805194805195
DT Christian,922,1218,40,153.66666666666666,7.926247288503254,23.05,0.04338394793926247
WD Parnell,758,968,40,126.33333333333333,7.6622691292875995,18.95,0.052770448548812667
Yuvraj Singh,882,1091,39,147.0,7.421768707482993,22.615384615384617,0.04421768707482993
Washington Sundar,1064,1335,39,177.33333333333334,7.5281954887218046,27.28205128205128,0.03665413533834586
MS Gony,925,1317,39,154.16666666666666,8.542702702702703,23.71794871794872,0.04216216216216216
M Kartik,1182,1418,39,197.0,7.197969543147208,30.307692307692307,0.03299492385786802
DP Nannes,689,815,38,114.83333333333333,7.097242380261249,18.13157894736842,0.055152394775036286
M Pathirana,503,617,38,83.83333333333333,7.359840954274354,13.236842105263158,0.07554671968190854
P Negi,733,954,38,122.16666666666667,7.80900409276944,19.289473684210527,0.05184174624829468
MR Marsh,593,803,37,98.83333333333333,8.1247892074199,16.027027027027028,0.06239460370994941
NLTC Perera,715,1031,37,119.16666666666667,8.651748251748252,19.324324324324323,0.05174825174825175
M Markande,737,1081,37,122.83333333333333,8.800542740841248,19.91891891891892,0.050203527815468114
R Tewatia,866,1117,36,144.33333333333334,7.739030023094688,24.055555555555557,0.04157043879907621
KK Cooper,600,789,36,100.0,7.89,16.666666666666668,0.06
JR Hazlewood,622,830,36,103.66666666666667,8.006430868167202,17.27777777777778,0.05787781350482315
PWH de Silva,557,758,36,92.83333333333333,8.165170556552964,15.472222222222221,0.06463195691202872
CJ Jordan,717,1111,36,119.5,9.297071129707113,19.916666666666668,0.0502092050209205
M Ashwin,898,1182,35,149.66666666666666,7.8975501113585755,25.65714285714286,0.03897550111358575
DL Vettori,785,894,34,130.83333333333334,6.83312101910828,23.08823529411765,0.04331210191082802
MF Maharoof,441,532,33,73.5,7.238095238095238,13.363636363636363,0.07482993197278912
Shivam Mavi,687,958,33,114.5,8.366812227074236,20.818181818181817,0.048034934497816595
AB Agarkar,820,1174,33,136.66666666666666,8.590243902439026,24.848484848484848,0.04024390243902439
CR Woakes,463,674,31,77.16666666666667,8.734341252699783,14.935483870967742,0.06695464362850972
Yash Dayal,615,933,31,102.5,9.102439024390243,19.838709677419356,0.05040650406504065
Mukesh Kumar,420,707,31,70.0,10.1,13.548387096774194,0.07380952380952381
A Singh,486,639,31,81.0,7.888888888888889,15.67741935483871,0.06378600823045268
BA Stokes,723,1023,31,120.5,8.489626556016598,23.322580645161292,0.042876901798063624
Umran Malik,519,785,31,86.5,9.07514450867052,16.741935483870968,0.05973025048169557
Azhar Mahmood,552,707,31,92.0,7.684782608695652,17.806451612903224,0.05615942028985507
Harmeet Singh,574,747,31,95.66666666666667,7.808362369337979,18.516129032258064,0.05400696864111498
A Zampa,425,562,30,70.83333333333333,7.934117647058824,14.166666666666666,0.07058823529411765
SK Raina,930,1139,30,155.0,7.348387096774194,31.0,0.03225806451612903
B Lee,916,1126,30,152.66666666666666,7.3755458515283845,30.533333333333335,0.03275109170305677
PV Tambe,674,866,28,112.33333333333333,7.70919881305638,24.071428571428573,0.04154302670623145
STR Binny,611,763,28,101.83333333333333,7.4926350245499185,21.821428571428573,0.04582651391162029
AD Mathews,807,1095,28,134.5,8.141263940520446,28.821428571428573,0.03469640644361834
L Ngidi,342,460,28,57.0,8.070175438596491,12.214285714285714,0.08187134502923976
Harshit Rana,403,590,27,67.16666666666667,8.784119106699752,14.925925925925926,0.06699751861042183
Mohsin Khan,507,698,27,84.5,8.2603550295858,18.77777777777778,0.05325443786982249
R Dhawan,693,922,27,115.5,7.982683982683983,25.666666666666668,0.03896103896103896
J Botha,709,818,27,118.16666666666667,6.922425952045134,26.25925925925926,0.0380818053596615
Yash Thakur,432,702,27,72.0,9.75,16.0,0.0625
DR Smith,557,825,27,92.83333333333333,8.88689407540395,20.62962962962963,0.04847396768402154
Basil Thampi,539,862,26,89.83333333333333,9.595547309833025,20.73076923076923,0.04823747680890538
Naveen-ul-Haq,407,602,26,67.83333333333333,8.874692874692876,15.653846153846153,0.06388206388206388
SW Tait,534,668,26,89.0,7.50561797752809,20.53846153846154,0.04868913857677903
Navdeep Saini,682,968,26,113.66666666666667,8.516129032258064,26.23076923076923,0.03812316715542522
M Theekshana,631,814,25,105.16666666666667,7.740095087163232,25.24,0.039619651347068144
RE van der Merwe,455,515,25,75.83333333333333,6.791208791208792,18.2,0.054945054945054944
GB Hogg,466,585,25,77.66666666666667,7.532188841201716,18.64,0.0536480686695279
Harpreet Brar,692,907,25,115.33333333333333,7.864161849710983,27.68,0.036127167630057806
AS Rajpoot,567,844,24,94.5,8.931216931216932,23.625,0.042328042328042326
Sohail Tanvir,265,275,24,44.166666666666664,6.226415094339623,11.041666666666666,0.09056603773584905
Noor Ahmad,513,672,24,85.5,7.859649122807017,21.375,0.04678362573099415
A Symonds,540,694,23,90.0,7.711111111111111,23.47826086956522,0.04259259259259259
BW Hilfenhaus,390,497,23,65.0,7.6461538461538465,16.956521739130434,0.05897435897435897
JP Duminy,701,847,23,116.83333333333333,7.249643366619116,30.47826086956522,0.03281027104136947
M Jansen,487,732,22,81.16666666666667,9.018480492813142,22.136363636363637,0.045174537987679675
Akash Madhwal,279,431,22,46.5,9.268817204301076,12.681818181818182,0.07885304659498207
WPUJC Vaas,288,364,22,48.0,7.583333333333333,13.090909090909092,0.0763888888888889
JP Behrendorff,379,563,22,63.166666666666664,8.91292875989446,17.227272727272727,0.05804749340369393
Bipul Sharma,436,581,22,72.66666666666667,7.9954128440366965,19.818181818181817,0.05045871559633028
AS Joseph,454,707,22,75.66666666666667,9.343612334801762,20.636363636363637,0.048458149779735685
VY Mahesh,359,511,22,59.833333333333336,8.540389972144846,16.318181818181817,0.06128133704735376
K Gowtham,599,825,22,99.83333333333333,8.263772954924875,27.227272727272727,0.03672787979966611
KW Richardson,345,479,21,57.5,8.330434782608696,16.428571428571427,0.06086956521739131
Shahbaz Ahmed,549,850,21,91.5,9.289617486338798,26.142857142857142,0.03825136612021858
Anureet Singh,430,636,21,71.66666666666667,8.874418604651162,20.476190476190474,0.04883720930232558
RP Meredith,415,621,21,69.16666666666667,8.978313253012047,19.761904761904763,0.05060240963855422
J Suchith,434,604,20,72.33333333333333,8.350230414746544,21.7,0.04608294930875576
BB Sran,516,767,20,86.0,8.918604651162791,25.8,0.03875968992248062
C Green,462,675,20,77.0,8.766233766233766,23.1,0.04329004329004329
Mujeeb Ur Rahman,452,598,20,75.33333333333333,7.938053097345133,22.6,0.04424778761061947
C Sakariya,460,610,20,76.66666666666667,7.956521739130435,23.0,0.043478260869565216
VG Arora,418,598,20,69.66666666666667,8.583732057416267,20.9,0.04784688995215311
CRD Fernando,249,306,19,41.5,7.373493975903615,13.105263157894736,0.07630522088353414
CH Gayle,584,755,19,97.33333333333333,7.756849315068494,30.736842105263158,0.032534246575342464
NT Ellis,365,514,19,60.833333333333336,8.449315068493151,19.210526315789473,0.052054794520547946
IC Pandey,469,609,19,78.16666666666667,7.791044776119403,24.68421052631579,0.04051172707889126
AD Mascarenhas,310,365,19,51.666666666666664,7.064516129032258,16.31578947368421,0.06129032258064516
A Ashish Reddy,270,400,19,45.0,8.88888888888889,14.210526315789474,0.07037037037037037
BJ Hodge,238,310,18,39.666666666666664,7.815126050420169,13.222222222222221,0.07563025210084033
D Wiese,307,447,17,51.166666666666664,8.736156351791532,18.058823529411764,0.05537459283387622
LR Shukla,326,458,17,54.333333333333336,8.429447852760736,19.176470588235293,0.05214723926380368
R Rampaul,278,319,17,46.333333333333336,6.884892086330935,16.352941176470587,0.06115107913669065
Vijaykumar Vyshak,243,396,17,40.5,9.777777777777779,14.294117647058824,0.06995884773662552
MJ Santner,370,428,16,61.666666666666664,6.940540540540541,23.125,0.043243243243243246
RG Sharma,349,462,16,58.166666666666664,7.9426934097421205,21.8125,0.045845272206303724
Kartik Tyagi,458,720,16,76.33333333333333,9.43231441048035,28.625,0.034934497816593885
AC Thomas,327,416,16,54.5,7.63302752293578,20.4375,0.04892966360856269
Mukesh Choudhary,298,452,16,49.666666666666664,9.100671140939598,18.625,0.053691275167785234
CR Brathwaite,266,384,16,44.333333333333336,8.661654135338345,16.625,0.06015037593984962
ST Jayasuriya,301,396,16,50.166666666666664,7.893687707641196,18.8125,0.053156146179401995
VRV Singh,371,549,16,61.833333333333336,8.878706199460916,23.1875,0.0431266846361186
SJ Srivastava,306,444,15,51.0,8.705882352941176,20.4,0.049019607843137254
YA Abdulla,222,311,15,37.0,8.405405405405405,14.8,0.06756756756756757
AN Ahmed,362,515,15,60.333333333333336,8.535911602209945,24.133333333333333,0.04143646408839779
RR Powar,443,538,15,73.83333333333333,7.286681715575622,29.533333333333335,0.033860045146726865
DR Sams,389,528,15,64.83333333333333,8.143958868894602,25.933333333333334,0.038560411311053984
Mohammad Nabi,419,527,15,69.83333333333333,7.5465393794749405,27.933333333333334,0.03579952267303103
GD McGrath,329,366,14,54.833333333333336,6.674772036474164,23.5,0.0425531914893617
AB McDonald,188,263,14,31.333333333333332,8.393617021276595,13.428571428571429,0.07446808510638298
Umar Gul,153,198,14,25.5,7.764705882352941,10.928571428571429,0.0915032679738562
R McLaren,372,558,14,62.0,9.0,26.571428571428573,0.03763440860215054
Kamran Khan,177,248,14,29.5,8.40677966101695,12.642857142857142,0.07909604519774012
KR Sen,255,396,14,42.5,9.31764705882353,18.214285714285715,0.054901960784313725
DJG Sammy,244,354,14,40.666666666666664,8.704918032786885,17.428571428571427,0.05737704918032787
JR Hopes,369,562,14,61.5,9.138211382113822,26.357142857142858,0.037940379403794036
CJ Anderson,315,525,14,52.5,10.0,22.5,0.044444444444444446
Karanveer Singh,213,323,14,35.5,9.098591549295774,15.214285714285714,0.06572769953051644
S Lamichhane,211,297,14,35.166666666666664,8.445497630331754,15.071428571428571,0.06635071090047394
BA Bhatt,303,408,13,50.5,8.07920792079208,23.307692307692307,0.0429042904290429
SM Pollock,280,307,13,46.666666666666664,6.578571428571429,21.53846153846154,0.04642857142857143
CK Langeveldt,165,199,13,27.5,7.236363636363636,12.692307692307692,0.07878787878787878
TK Curran,252,432,13,42.0,10.285714285714286,19.384615384615383,0.051587301587301584
Joginder Sharma,272,421,13,45.333333333333336,9.286764705882353,20.923076923076923,0.04779411764705882
R Sai Kishore,191,259,13,31.833333333333332,8.136125654450263,14.692307692307692,0.06806282722513089
J Little,236,341,13,39.333333333333336,8.669491525423728,18.153846153846153,0.05508474576271186
J Theron,235,311,13,39.166666666666664,7.940425531914894,18.076923076923077,0.05531914893617021
G Coetzee,216,357,13,36.0,9.916666666666666,16.615384615384617,0.06018518518518518
JDP Oram,244,362,13,40.666666666666664,8.901639344262296,18.76923076923077,0.05327868852459016
RS Bopara,213,301,13,35.5,8.47887323943662,16.384615384615383,0.06103286384976526
V Shankar,258,344,12,43.0,8.0,21.5,0.046511627906976744
V Pratap Singh,211,300,12,35.166666666666664,8.530805687203792,17.583333333333332,0.05687203791469194
AG Murtaza,269,322,12,44.833333333333336,7.182156133828996,22.416666666666668,0.04460966542750929
BCJ Cutting,288,430,12,48.0,8.958333333333334,24.0,0.041666666666666664
Ankit Sharma,375,453,12,62.5,7.248,31.25,0.032
SC Ganguly,280,370,12,46.666666666666664,7.928571428571429,23.333333333333332,0.04285714285714286
JL Pattinson,222,321,11,37.0,8.675675675675675,20.181818181818183,0.04954954954954955
Suyash Sharma,264,381,11,44.0,8.659090909090908,24.0,0.041666666666666664
A Chandila,234,245,11,39.0,6.282051282051282,21.272727272727273,0.04700854700854701
JD Ryder,241,314,11,40.166666666666664,7.817427385892117,21.90909090909091,0.04564315352697095
LS Livingstone,267,395,11,44.5,8.876404494382022,24.272727272727273,0.04119850187265917
Abhishek Sharma,278,396,11,46.333333333333336,8.546762589928058,25.272727272727273,0.039568345323741004
Pankaj Singh,311,472,11,51.833333333333336,9.106109324758842,28.272727272727273,0.03536977491961415
BE Hendricks,157,239,11,26.166666666666668,9.13375796178344,14.272727272727273,0.07006369426751592
MA Wood,127,192,11,21.166666666666668,9.070866141732283,11.545454545454545,0.08661417322834646
TS Mills,218,349,11,36.333333333333336,9.605504587155963,19.818181818181817,0.05045871559633028
OC McCoy,180,255,11,30.0,8.5,16.363636363636363,0.06111111111111111
PVD Chameera,297,442,11,49.5,8.929292929292929,27.0,0.037037037037037035
S Badree,263,329,11,43.833333333333336,7.505703422053232,23.90909090909091,0.04182509505703422
KP Appanna,222,291,11,37.0,7.864864864864865,20.181818181818183,0.04954954954954955
Lalit Yadav,294,430,11,49.0,8.775510204081632,26.727272727272727,0.03741496598639456
T Thushara,144,164,10,24.0,6.833333333333333,14.4,0.06944444444444445
J Syed Mohammad,196,286,10,32.666666666666664,8.755102040816327,19.6,0.05102040816326531
Anand Rajan,162,206,10,27.0,7.62962962962963,16.2,0.06172839506172839
DJ Hooda,384,535,10,64.0,8.359375,38.4,0.026041666666666668
K Kartikeya,241,334,10,40.166666666666664,8.315352697095436,24.1,0.04149377593360996
N Rana,185,253,10,30.833333333333332,8.205405405405406,18.5,0.05405405405405406
B Laughlin,179,284,10,29.833333333333332,9.5195530726257,17.9,0.055865921787709494
Simarjeet Singh,193,265,10,32.166666666666664,8.238341968911918,19.3,0.05181347150259067
KMA Paul,180,239,10,30.0,7.966666666666667,18.0,0.05555555555555555
DJ Hussey,323,485,10,53.833333333333336,9.009287925696594,32.3,0.030959752321981424
MN Samuels,219,285,10,36.5,7.808219178082192,21.9,0.045662100456621
Shahid Afridi,185,237,9,30.833333333333332,7.686486486486487,20.555555555555557,0.04864864864864865
J Yadav,398,447,9,66.33333333333333,6.738693467336684,44.22222222222222,0.022613065326633167
AF Milne,217,339,9,36.166666666666664,9.373271889400922,24.11111111111111,0.041474654377880185
AM Nayar,239,323,9,39.833333333333336,8.10878661087866,26.555555555555557,0.03765690376569038
IS Sodhi,182,204,9,30.333333333333332,6.725274725274725,20.22222222222222,0.04945054945054945
KA Jamieson,179,271,9,29.833333333333332,9.083798882681565,19.88888888888889,0.05027932960893855
SMSM Senanayake,195,211,9,32.5,6.492307692307692,21.666666666666668,0.046153846153846156
SB Styris,222,278,9,37.0,7.513513513513513,24.666666666666668,0.04054054054054054
KP Pietersen,180,218,9,30.0,7.266666666666667,20.0,0.05
Rasikh Salam,207,341,9,34.5,9.884057971014492,23.0,0.043478260869565216
SE Bond,191,225,9,31.833333333333332,7.068062827225131,21.22222222222222,0.04712041884816754
JEC Franklin,155,225,9,25.833333333333332,8.70967741935484,17.22222222222222,0.05806451612903226
Mohammad Asif,199,307,9,33.166666666666664,9.256281407035177,22.11111111111111,0.04522613065326633
P Parameswaran,159,226,9,26.5,8.528301886792454,17.666666666666668,0.05660377358490566
BAW Mendis,248,306,9,41.333333333333336,7.403225806451612,27.555555555555557,0.036290322580645164
A Mithun,312,477,8,52.0,9.173076923076923,39.0,0.02564102564102564
AA Chavan,255,339,8,42.5,7.976470588235294,31.875,0.03137254901960784
MP Yadav,76,88,8,12.666666666666666,6.947368421052632,9.5,0.10526315789473684
M Ntini,213,257,8,35.5,7.23943661971831,26.625,0.03755868544600939
N Thushara,172,259,8,28.666666666666668,9.034883720930232,21.5,0.046511627906976744
S Sandeep Warrier,176,257,8,29.333333333333332,8.761363636363637,22.0,0.045454545454545456
Akash Deep,175,324,8,29.166666666666668,11.108571428571429,21.875,0.045714285714285714
GC Viljoen,146,229,8,24.333333333333332,9.41095890410959,18.25,0.0547945205479452
I Udana,182,286,8,30.333333333333332,9.428571428571429,22.75,0.04395604395604396
JDS Neesham,222,342,8,37.0,9.243243243243244,27.75,0.036036036036036036
S Randiv,180,223,8,30.0,7.433333333333334,22.5,0.044444444444444446
KC Cariappa,224,349,8,37.333333333333336,9.348214285714285,28.0,0.03571428571428571
